GEO_ID,NAME,RACE,xxMALE,xxFEMALE
0500000US01001,"Autauga County, Alabama",African-American,1274,1937
0500000US01003,"Baldwin County, Alabama",African-American,1282,1992
0500000US01005,"Barbour County, Alabama",African-American,1513,2507
0500000US01007,"Bibb County, Alabama",African-American,665,815
0500000US01009,"Blount County, Alabama",African-American,54,33
0500000US01011,"Bullock County, Alabama",African-American,1109,1125
0500000US01013,"Butler County, Alabama",African-American,805,1806
0500000US01015,"Calhoun County, Alabama",African-American,2662,3371
0500000US01017,"Chambers County, Alabama",African-American,618,1584
0500000US01019,"Cherokee County, Alabama",African-American,137,18
0500000US01021,"Chilton County, Alabama",African-American,288,592
0500000US01023,"Choctaw County, Alabama",African-American,797,980
0500000US01025,"Clarke County, Alabama",African-American,1686,2335
0500000US01027,"Clay County, Alabama",African-American,256,358
0500000US01029,"Cleburne County, Alabama",African-American,2,161
0500000US01031,"Coffee County, Alabama",African-American,1348,1470
0500000US01033,"Colbert County, Alabama",African-American,1035,1181
0500000US01035,"Conecuh County, Alabama",African-American,550,797
0500000US01037,"Coosa County, Alabama",African-American,427,340
0500000US01039,"Covington County, Alabama",African-American,525,876
0500000US01041,"Crenshaw County, Alabama",African-American,312,442
0500000US01043,"Cullman County, Alabama",African-American,72,57
0500000US01045,"Dale County, Alabama",African-American,1207,1389
0500000US01047,"Dallas County, Alabama",African-American,3905,5542
0500000US01049,"DeKalb County, Alabama",African-American,40,100
0500000US01051,"Elmore County, Alabama",African-American,1128,1792
0500000US01053,"Escambia County, Alabama",African-American,1593,2416
0500000US01055,"Etowah County, Alabama",African-American,1915,2491
0500000US01057,"Fayette County, Alabama",African-American,341,322
0500000US01059,"Franklin County, Alabama",African-American,98,144
0500000US01061,"Geneva County, Alabama",African-American,398,680
0500000US01063,"Greene County, Alabama",African-American,1173,1401
0500000US01065,"Hale County, Alabama",African-American,1070,1591
0500000US01067,"Henry County, Alabama",African-American,560,748
0500000US01069,"Houston County, Alabama",African-American,3712,5279
0500000US01071,"Jackson County, Alabama",African-American,200,136
