GEO_ID,NAME,RACE,xxMALE,xxFEMALE
0500000US01001,"Autauga County, Alabama",American Indian,23,0
0500000US01003,"Baldwin County, Alabama",American Indian,251,309
0500000US01005,"Barbour County, Alabama",American Indian,0,0
0500000US01007,"Bibb County, Alabama",American Indian,0,0
0500000US01009,"Blount County, Alabama",American Indian,11,0
0500000US01011,"Bullock County, Alabama",American Indian,0,0
0500000US01013,"Butler County, Alabama",American Indian,0,0
0500000US01015,"Calhoun County, Alabama",American Indian,102,123
0500000US01017,"Chambers County, Alabama",American Indian,16,0
0500000US01019,"Cherokee County, Alabama",American Indian,31,0
0500000US01021,"Chilton County, Alabama",American Indian,42,99
0500000US01023,"Choctaw County, Alabama",American Indian,0,0
0500000US01025,"Clarke County, Alabama",American Indian,0,0
0500000US01027,"Clay County, Alabama",American Indian,0,0
0500000US01029,"Cleburne County, Alabama",American Indian,0,0
0500000US01031,"Coffee County, Alabama",American Indian,96,45
0500000US01033,"Colbert County, Alabama",American Indian,0,33
0500000US01035,"Conecuh County, Alabama",American Indian,0,0
0500000US01037,"Coosa County, Alabama",American Indian,0,23
0500000US01039,"Covington County, Alabama",American Indian,0,0
0500000US01041,"Crenshaw County, Alabama",American Indian,24,45
0500000US01043,"Cullman County, Alabama",American Indian,0,0
0500000US01045,"Dale County, Alabama",American Indian,6,47
0500000US01047,"Dallas County, Alabama",American Indian,17,26
0500000US01049,"DeKalb County, Alabama",American Indian,77,132
0500000US01051,"Elmore County, Alabama",American Indian,3,3
0500000US01053,"Escambia County, Alabama",American Indian,127,232
0500000US01055,"Etowah County, Alabama",American Indian,141,151
0500000US01057,"Fayette County, Alabama",American Indian,0,0
0500000US01059,"Franklin County, Alabama",American Indian,0,18
0500000US01061,"Geneva County, Alabama",American Indian,38,0
0500000US01063,"Greene County, Alabama",American Indian,0,0
0500000US01065,"Hale County, Alabama",American Indian,0,0
0500000US01067,"Henry County, Alabama",American Indian,0,0
0500000US01069,"Houston County, Alabama",American Indian,28,41
0500000US01071,"Jackson County, Alabama",American Indian,55,80
0500000US01073,"Jefferson County, Alabama",American Indian,177,185
0500000US01075,"Lamar County, Alabama",American Indian,9,0
0500000US01077,"Lauderdale County, Alabama",American Indian,32,163
0500000US01079,"Lawrence County, Alabama",American Indian,8,13
0500000US01081,"Lee County, Alabama",American Indian,8,55
0500000US01083,"Limestone County, Alabama",American Indian,0,84
0500000US01085,"Lowndes County, Alabama",American Indian,0,0
0500000US01087,"Macon County, Alabama",American Indian,0,0
0500000US01089,"Madison County, Alabama",American Indian,72,96
0500000US01091,"Marengo County, Alabama",American Indian,0,0
0500000US01093,"Marion County, Alabama",American Indian,9,6
0500000US01095,"Marshall County, Alabama",American Indian,22,94
0500000US01097,"Mobile County, Alabama",American Indian,122,161
0500000US01099,"Monroe County, Alabama",American Indian,26,27
0500000US01101,"Montgomery County, Alabama",American Indian,51,48
0500000US01103,"Morgan County, Alabama",American Indian,51,5
0500000US01105,"Perry County, Alabama",American Indian,0,0
0500000US01107,"Pickens County, Alabama",American Indian,1,0
0500000US01109,"Pike County, Alabama",American Indian,0,3
0500000US01111,"Randolph County, Alabama",American Indian,0,0
0500000US01113,"Russell County, Alabama",American Indian,36,8
0500000US01115,"St. Clair County, Alabama",American Indian,19,26
0500000US01117,"Shelby County, Alabama",American Indian,0,2
0500000US01119,"Sumter County, Alabama",American Indian,0,0
0500000US01121,"Talladega County, Alabama",American Indian,76,48
0500000US01123,"Tallapoosa County, Alabama",American Indian,0,7
0500000US01125,"Tuscaloosa County, Alabama",American Indian,43,105
0500000US01127,"Walker County, Alabama",American Indian,0,0
0500000US01129,"Washington County, Alabama",American Indian,71,23
0500000US01131,"Wilcox County, Alabama",American Indian,0,4
0500000US01133,"Winston County, Alabama",American Indian,0,0
0500000US02013,"Aleutians East Borough, Alaska",American Indian,147,108
0500000US02016,"Aleutians West Census Area, Alaska",American Indian,68,30
0500000US02020,"Anchorage Municipality, Alaska",American Indian,2624,2272
0500000US02050,"Bethel Census Area, Alaska",American Indian,2504,2362
0500000US02060,"Bristol Bay Borough, Alaska",American Indian,7,16
0500000US02063,"Chugach Census Area, Alaska",American Indian,1,19
0500000US02066,"Copper River Census Area, Alaska",American Indian,82,66
0500000US02068,"Denali Borough, Alaska",American Indian,0,0
0500000US02070,"Dillingham Census Area, Alaska",American Indian,383,366
0500000US02090,"Fairbanks North Star Borough, Alaska",American Indian,335,543
0500000US02100,"Haines Borough, Alaska",American Indian,6,13
0500000US02105,"Hoonah-Angoon Census Area, Alaska",American Indian,66,58
0500000US02110,"Juneau City and Borough, Alaska",American Indian,265,168
0500000US02122,"Kenai Peninsula Borough, Alaska",American Indian,450,444
0500000US02130,"Ketchikan Gateway Borough, Alaska",American Indian,144,280
0500000US02150,"Kodiak Island Borough, Alaska",American Indian,174,280
0500000US02158,"Kusilvak Census Area, Alaska",American Indian,1579,1471
0500000US02164,"Lake and Peninsula Borough, Alaska",American Indian,71,85
