GEO_ID,CTY_ST,RACE,xxMALE,xxFEMALE
0500000US01001,"Autauga County, Alabama",White/Non-Hispanic,1961,2817
0500000US01003,"Baldwin County, Alabama",White/Non-Hispanic,5838,8665
0500000US01005,"Barbour County, Alabama",White/Non-Hispanic,680,895
0500000US01007,"Bibb County, Alabama",White/Non-Hispanic,1200,1075
0500000US01009,"Blount County, Alabama",White/Non-Hispanic,2986,4387
0500000US01011,"Bullock County, Alabama",White/Non-Hispanic,232,302
0500000US01013,"Butler County, Alabama",White/Non-Hispanic,345,548
0500000US01015,"Calhoun County, Alabama",White/Non-Hispanic,4032,6164
0500000US01017,"Chambers County, Alabama",White/Non-Hispanic,1236,1473
0500000US01019,"Cherokee County, Alabama",White/Non-Hispanic,1304,1559
0500000US01021,"Chilton County, Alabama",White/Non-Hispanic,2711,3037
0500000US01023,"Choctaw County, Alabama",White/Non-Hispanic,281,366
0500000US01025,"Clarke County, Alabama",White/Non-Hispanic,753,1026
0500000US01027,"Clay County, Alabama",White/Non-Hispanic,585,779
0500000US01029,"Cleburne County, Alabama",White/Non-Hispanic,702,1214
0500000US01031,"Coffee County, Alabama",White/Non-Hispanic,1459,2387
0500000US01033,"Colbert County, Alabama",White/Non-Hispanic,2404,2895
0500000US01035,"Conecuh County, Alabama",White/Non-Hispanic,268,376
0500000US01037,"Coosa County, Alabama",White/Non-Hispanic,241,252
0500000US01039,"Covington County, Alabama",White/Non-Hispanic,2071,2626
0500000US01041,"Crenshaw County, Alabama",White/Non-Hispanic,474,531
0500000US01043,"Cullman County, Alabama",White/Non-Hispanic,4521,5194
0500000US01045,"Dale County, Alabama",White/Non-Hispanic,2394,3089
0500000US01047,"Dallas County, Alabama",White/Non-Hispanic,528,868
0500000US01049,"DeKalb County, Alabama",White/Non-Hispanic,4550,5732
0500000US01051,"Elmore County, Alabama",White/Non-Hispanic,1990,2767
0500000US01053,"Escambia County, Alabama",White/Non-Hispanic,1352,2138
0500000US01055,"Etowah County, Alabama",White/Non-Hispanic,3828,6296
0500000US01057,"Fayette County, Alabama",White/Non-Hispanic,1030,1556
0500000US01059,"Franklin County, Alabama",White/Non-Hispanic,1650,2622
0500000US01061,"Geneva County, Alabama",White/Non-Hispanic,1951,2309
0500000US01063,"Greene County, Alabama",White/Non-Hispanic,86,96
0500000US01065,"Hale County, Alabama",White/Non-Hispanic,390,355
0500000US01067,"Henry County, Alabama",White/Non-Hispanic,392,747
0500000US01069,"Houston County, Alabama",White/Non-Hispanic,3497,4649
0500000US01071,"Jackson County, Alabama",White/Non-Hispanic,3574,4381
0500000US01073,"Jefferson County, Alabama",White/Non-Hispanic,12764,17116
0500000US01075,"Lamar County, Alabama",White/Non-Hispanic,777,777
0500000US01077,"Lauderdale County, Alabama",White/Non-Hispanic,3601,5371
0500000US01079,"Lawrence County, Alabama",White/Non-Hispanic,1762,2690
0500000US01081,"Lee County, Alabama",White/Non-Hispanic,9395,10096
0500000US01083,"Limestone County, Alabama",White/Non-Hispanic,3462,5155
0500000US01085,"Lowndes County, Alabama",White/Non-Hispanic,86,67
0500000US01087,"Macon County, Alabama",White/Non-Hispanic,129,192
0500000US01089,"Madison County, Alabama",White/Non-Hispanic,8851,10605
