laus_code,fips,government,st_fips_code,cty_fips_code,cty_state,subregion,Year,labor_force,employed,unemployed,ue_rate
CN0100100000000,1001,Republican,Alabama,1,"Autauga County, AL",Autauga,2020,"25,838","24,576","1,262",4.9
CN0100300000000,1003,Republican,Alabama,3,"Baldwin County, AL",Baldwin,2020,"96,763","91,338","5,425",5.6
CN0100500000000,1005,Republican,Alabama,5,"Barbour County, AL",Barbour,2020,"8,587","7,982",605,7
CN0100700000000,1007,Republican,Alabama,7,"Bibb County, AL",Bibb,2020,"8,640","8,067",573,6.6
CN0100900000000,1009,Republican,Alabama,9,"Blount County, AL",Blount,2020,"24,661","23,653","1,008",4.1
CN0101100000000,1011,Republican,Alabama,11,"Bullock County, AL",Bullock,2020,"4,818","4,553",265,5.5
CN0101300000000,1013,Republican,Alabama,13,"Butler County, AL",Butler,2020,"9,056","8,255",801,8.8
CN0101500000000,1015,Republican,Alabama,15,"Calhoun County, AL",Calhoun,2020,"46,240","42,980","3,260",7.1
CN0101700000000,1017,Republican,Alabama,17,"Chambers County, AL",Chambers,2020,"15,865","14,787","1,078",6.8
CN0101900000000,1019,Republican,Alabama,19,"Cherokee County, AL",Cherokee,2020,"11,513","10,983",530,4.6
CN0102100000000,1021,Republican,Alabama,21,"Chilton County, AL",Chilton,2020,"19,592","18,618",974,5
CN0102300000000,1023,Republican,Alabama,23,"Choctaw County, AL",Choctaw,2020,"4,621","4,313",308,6.7
CN0102500000000,1025,Republican,Alabama,25,"Clarke County, AL",Clarke,2020,"7,769","7,069",700,9
CN0102700000000,1027,Republican,Alabama,27,"Clay County, AL",Clay,2020,"6,083","5,838",245,4
CN0102900000000,1029,Republican,Alabama,29,"Cleburne County, AL",Cleburne,2020,"5,737","5,475",262,4.6
CN0103100000000,1031,Republican,Alabama,31,"Coffee County, AL",Coffee,2020,"21,502","20,558",944,4.4
CN0103300000000,1033,Republican,Alabama,33,"Colbert County, AL",Colbert,2020,"23,558","22,008","1,550",6.6
CN0103500000000,1035,Republican,Alabama,35,"Conecuh County, AL",Conecuh,2020,"4,529","4,198",331,7.3
CN0103700000000,1037,Republican,Alabama,37,"Coosa County, AL",Coosa,2020,"4,392","4,150",242,5.5
CN0103900000000,1039,Republican,Alabama,39,"Covington County, AL",Covington,2020,"15,172","14,434",738,4.9
